Date,Temp_A,Temp_B
2019-06-25 21:20:47,7.203,3.336
2019-06-25 21:20:53,7.042,3.336
2019-06-25 21:20:59,7.042,3.336
2019-06-25 21:21:06,7.203,3.336
2019-06-25 21:21:12,7.203,3.336
2019-06-25 21:21:18,7.203,3.336
2019-06-25 21:21:24,7.042,3.336
2019-06-25 21:21:30,7.203,3.497
2019-06-25 21:21:36,7.203,3.497
2019-06-25 21:21:42,7.042,3.336
2019-06-25 21:21:48,7.042,3.497
2019-06-25 21:21:54,7.042,3.336
2019-06-25 21:22:00,7.203,3.336
2019-06-25 21:22:06,7.042,3.336
2019-06-25 21:22:12,7.203,3.336
2019-06-25 21:22:18,7.042,3.497
2019-06-25 21:22:24,7.203,3.336
2019-06-25 21:22:30,7.203,3.336
2019-06-25 21:22:36,7.042,3.336
2019-06-25 21:22:42,7.042,3.336
2019-06-25 21:22:49,7.042,3.336
2019-06-25 21:22:55,7.042,3.336
2019-06-25 21:23:01,7.042,3.497
2019-06-25 21:23:07,7.042,3.336
2019-06-25 21:23:13,7.042,3.336
2019-06-25 21:23:19,7.042,3.336
2019-06-25 21:23:25,7.042,3.336
2019-06-25 21:23:31,7.042,3.336
2019-06-25 21:23:37,7.042,3.336
2019-06-25 21:23:43,7.042,3.497
2019-06-25 21:23:49,7.042,3.336
2019-06-25 21:23:55,7.042,3.336
2019-06-25 21:24:01,6.881,3.336
2019-06-25 21:24:07,7.042,3.336
2019-06-25 21:24:13,7.042,3.336
2019-06-25 21:24:19,7.042,3.497
2019-06-25 21:24:25,7.042,3.336
2019-06-25 21:24:32,7.042,3.336
2019-06-25 21:24:38,7.042,3.336
2019-06-25 21:24:44,6.881,3.336
2019-06-25 21:24:50,6.881,3.497
2019-06-25 21:24:56,6.881,3.336
2019-06-25 21:25:02,6.881,3.336
2019-06-25 21:25:08,7.042,3.336
2019-06-25 21:25:14,7.042,3.336
2019-06-25 21:25:20,6.881,3.336
2019-06-25 21:25:26,6.881,3.336
2019-06-25 21:25:32,7.042,3.175
2019-06-25 21:25:38,6.881,3.336
2019-06-25 21:25:44,6.881,3.336
2019-06-25 21:25:50,6.881,3.336
2019-06-25 21:25:56,6.881,3.336
2019-06-25 21:26:02,6.720,3.336
2019-06-25 21:26:09,6.720,3.336
2019-06-25 21:26:15,6.720,3.336
2019-06-25 21:26:21,6.881,3.336
2019-06-25 21:26:27,6.881,3.336
2019-06-25 21:26:33,6.720,3.336
2019-06-25 21:26:39,6.720,3.336
2019-06-25 21:26:45,6.881,3.336
2019-06-25 21:26:51,6.720,3.336
2019-06-25 21:26:57,6.881,3.336
2019-06-25 21:27:03,6.881,3.175
2019-06-25 21:27:09,6.720,3.175
2019-06-25 21:27:15,6.881,3.175
2019-06-25 21:27:21,6.720,3.175
2019-06-25 21:27:27,6.720,3.175
2019-06-25 21:27:33,6.881,3.175
2019-06-25 21:27:39,6.881,3.175
2019-06-25 21:27:45,6.720,3.175
2019-06-25 21:27:52,6.881,3.175
2019-06-25 21:27:58,6.720,3.175
2019-06-25 21:28:04,6.720,3.175
2019-06-25 21:28:10,6.720,3.175
2019-06-25 21:28:16,6.720,3.175
2019-06-25 21:28:22,6.720,3.175
2019-06-25 21:28:28,6.720,3.175
2019-06-25 21:28:34,6.720,3.175
2019-06-25 21:28:40,6.720,3.175
2019-06-25 21:28:46,6.558,3.175
2019-06-25 21:28:52,6.720,3.175
2019-06-25 21:28:58,6.720,3.175
2019-06-25 21:29:04,6.558,3.175
2019-06-25 21:29:10,6.558,3.175
2019-06-25 21:29:16,6.558,3.175
2019-06-25 21:29:22,6.558,3.175
2019-06-25 21:29:28,6.558,3.013
2019-06-25 21:29:35,6.558,3.175
2019-06-25 21:29:41,6.558,3.013
2019-06-25 21:29:47,6.558,3.013
2019-06-25 21:29:53,6.558,3.013
2019-06-25 21:29:59,6.558,3.175
2019-06-25 21:30:05,6.558,3.175
2019-06-25 21:30:11,6.558,3.175
2019-06-25 21:30:17,6.558,3.175
2019-06-25 21:30:23,6.558,3.013
2019-06-25 21:30:29,6.558,3.013
2019-06-25 21:30:35,6.558,3.175
2019-06-25 21:30:41,6.558,3.013
2019-06-25 21:30:47,6.558,3.013
2019-06-25 21:30:53,6.558,3.013
2019-06-25 21:30:59,6.558,3.013
2019-06-25 21:31:05,6.558,3.013
2019-06-25 21:31:12,6.558,3.013
2019-06-25 21:31:18,6.397,3.013
2019-06-25 21:31:24,6.558,3.013
2019-06-25 21:31:30,6.558,3.013
2019-06-25 21:31:36,6.558,3.175
2019-06-25 21:31:42,6.558,3.013
2019-06-25 21:31:48,6.558,3.013
2019-06-25 21:31:54,6.558,3.013
2019-06-25 21:32:00,6.558,3.013
2019-06-25 21:32:06,6.558,3.013
2019-06-25 21:32:12,6.397,3.013
2019-06-25 21:32:18,6.397,3.013
2019-06-25 21:32:24,6.397,3.013
2019-06-25 21:32:30,6.397,3.013
2019-06-25 21:32:36,6.397,3.013
2019-06-25 21:32:42,6.397,3.013
2019-06-25 21:32:49,6.397,3.013
2019-06-25 21:32:55,6.397,3.013
2019-06-25 21:33:01,6.397,3.013
2019-06-25 21:33:07,6.397,3.013
2019-06-25 21:33:13,6.397,3.013
2019-06-25 21:33:19,6.558,3.013
2019-06-25 21:33:25,6.397,2.852
2019-06-25 21:33:31,6.558,3.013
2019-06-25 21:33:37,6.397,3.013
2019-06-25 21:33:43,6.397,3.013
2019-06-25 21:33:49,6.397,3.013
2019-06-25 21:33:55,6.397,3.013
2019-06-25 21:34:01,6.397,3.013
2019-06-25 21:34:07,6.236,2.852
2019-06-25 21:34:13,6.397,2.852
2019-06-25 21:34:19,6.397,2.852
2019-06-25 21:34:25,6.397,3.013
2019-06-25 21:34:32,6.397,2.852
2019-06-25 21:34:38,6.236,2.852
2019-06-25 21:34:44,6.397,2.852
2019-06-25 21:34:50,6.236,2.852
2019-06-25 21:34:56,6.236,2.852
2019-06-25 21:35:02,6.236,2.852
2019-06-25 21:35:08,6.236,2.852
2019-06-25 21:35:14,6.397,2.852
2019-06-25 21:35:20,6.397,2.852
2019-06-25 21:35:26,6.397,2.852
2019-06-25 21:35:32,6.236,2.852
2019-06-25 21:35:38,6.236,2.852
2019-06-25 21:35:44,6.236,2.852
2019-06-25 21:35:50,6.397,2.852
2019-06-25 21:35:56,6.236,2.852
2019-06-25 21:36:02,6.236,2.852
2019-06-25 21:36:09,6.236,2.852
2019-06-25 21:36:15,6.236,2.691
2019-06-25 21:36:21,6.236,2.691
2019-06-25 21:36:27,6.236,2.691
2019-06-25 21:36:33,6.236,2.852
2019-06-25 21:36:39,6.397,2.852
2019-06-25 21:36:45,6.236,2.691
2019-06-25 21:36:51,6.236,2.852
2019-06-25 21:36:57,6.236,2.691
2019-06-25 21:37:03,6.236,2.691
2019-06-25 21:37:09,6.236,2.691
2019-06-25 21:37:15,6.236,2.691
2019-06-25 21:37:21,6.075,2.691
2019-06-25 21:37:27,6.236,2.691
2019-06-25 21:37:33,6.236,2.691
2019-06-25 21:37:39,6.236,2.691
2019-06-25 21:37:46,6.075,2.691
2019-06-25 21:37:52,6.236,2.691
2019-06-25 21:37:58,6.236,2.691
2019-06-25 21:38:04,6.236,2.691
2019-06-25 21:38:10,6.236,2.691
2019-06-25 21:38:16,6.236,2.691
2019-06-25 21:38:22,6.075,2.691
2019-06-25 21:38:28,6.236,2.691
2019-06-25 21:38:34,6.075,2.691
2019-06-25 21:38:40,6.075,2.691
2019-06-25 21:38:46,6.236,2.691
2019-06-25 21:38:52,6.236,2.530
2019-06-25 21:38:58,6.075,2.691
2019-06-25 21:39:04,6.075,2.691
2019-06-25 21:39:10,6.236,2.691
2019-06-25 21:39:16,6.075,2.691
2019-06-25 21:39:23,6.075,2.530
2019-06-25 21:39:29,6.075,2.691
2019-06-25 21:39:35,6.075,2.691
2019-06-25 21:39:41,6.075,2.691
2019-06-25 21:39:47,6.075,2.691
2019-06-25 21:39:53,6.075,2.530
2019-06-25 21:39:59,6.075,2.530
2019-06-25 21:40:05,6.075,2.530
2019-06-25 21:40:11,6.075,2.530
2019-06-25 21:40:17,6.075,2.530
2019-06-25 21:40:23,6.075,2.530
2019-06-25 21:40:29,6.075,2.530
2019-06-25 21:40:35,6.075,2.530
2019-06-25 21:40:41,6.075,2.530
2019-06-25 21:40:47,6.075,2.530
2019-06-25 21:40:53,6.236,2.530
2019-06-25 21:41:00,6.075,2.530
2019-06-25 21:41:06,6.075,2.530
2019-06-25 21:41:12,6.075,2.530
2019-06-25 21:41:18,6.075,2.530
2019-06-25 21:41:24,5.914,2.530
2019-06-25 21:41:30,5.914,2.530
2019-06-25 21:41:36,5.914,2.530
2019-06-25 21:41:42,6.075,2.530
2019-06-25 21:41:48,5.914,2.530
2019-06-25 21:41:54,5.914,2.530
2019-06-25 21:42:00,5.914,2.530
2019-06-25 21:42:06,5.753,2.530
2019-06-25 21:42:12,5.914,2.369
2019-06-25 21:42:18,5.914,2.369
2019-06-25 21:42:24,5.914,2.369
2019-06-25 21:42:31,5.914,2.530
2019-06-25 21:42:37,5.914,2.369
2019-06-25 21:42:43,5.914,2.369
2019-06-25 21:42:49,5.753,2.369
2019-06-25 21:42:55,5.914,2.369
2019-06-25 21:43:01,5.753,2.530
2019-06-25 21:43:07,5.914,2.369
2019-06-25 21:43:13,5.914,2.369
2019-06-25 21:43:19,5.914,2.369
2019-06-25 21:43:25,5.914,2.530
2019-06-25 21:43:31,5.914,2.369
2019-06-25 21:43:37,5.914,2.369
2019-06-25 21:43:43,5.914,2.369
2019-06-25 21:43:49,5.914,2.369
2019-06-25 21:43:55,5.914,2.369
2019-06-25 21:44:02,5.753,2.369
2019-06-25 21:44:08,5.914,2.369
2019-06-25 21:44:14,5.753,2.369
2019-06-25 21:44:20,5.753,2.369
2019-06-25 21:44:26,5.753,2.369
2019-06-25 21:44:32,5.753,2.369
2019-06-25 21:44:38,5.753,2.369
2019-06-25 21:44:44,5.753,2.369
2019-06-25 21:44:50,5.592,2.369
2019-06-25 21:44:56,5.753,2.369
2019-06-25 21:45:02,5.753,2.369
